model,accepted_result_exists,implementation_exists,registry_entry_exists,subject_specific_runner_supported,needs_new_adapter,external_dependency_needed,ready_for_smoke,implementation_or_entry,evidence_summary
linear,false,true,true,false,true,false,true,src/repro/reference_baselines.py::fit_reference_linear_variant,"Local linear-family implementation exists and can reuse ridge/TRF-style subject-specific flow, but the subject-specific runner does not expose a `linear` branch yet."
ridge,true,true,true,true,false,false,true,scripts/run_gate0_gate2_full_subject_single_seed.py::run_job,"Accepted subject-specific compact result already exists and current runner has native support."
lasso,false,true,false,false,true,false,true,src/repro/mldecoders/linear_baselines.py::fit_avgdec_lasso_model_fast,"Lasso-family fitting code exists locally and can likely reuse the ridge/TRF interface, but there is no subject-specific runner branch and no exact registry row."
elasticnet,false,false,false,false,true,false,false,scripts/run_reference_baselines.py::models elastic_net token only,"Only an `elastic_net` CLI token was found; no underlying local fit/eval implementation was found in this branch, so this is not ready for smoke."
cca,true,true,true,true,false,false,true,scripts/run_gate0_gate2_full_subject_single_seed.py::run_job,"Accepted subject-specific compact result already exists and current runner has native support."
fcnn,true,true,true,true,false,false,true,src/repro/simple_models.py::FCNNBaseline,"Accepted subject-specific compact result already exists and current runner has native support."
dnn,true,true,true,true,false,true,true,external/upstream/mldecoders/pipeline/dnn.py::FCNN,"Accepted subject-specific compact result already exists; runner support depends on shared upstream mldecoders path present in this environment."
cnn,true,true,true,true,false,true,true,external/upstream/mldecoders/pipeline/dnn.py::CNN,"Accepted subject-specific compact result already exists; runner support depends on shared upstream mldecoders path present in this environment."
eegnet,true,true,false,true,false,false,true,src/repro/mldecoders/models.py::EEGNetRegressor,"Accepted subject-specific compact result already exists and current runner has native support, but model_registry.csv has no exact `eegnet` row."
adt,true,true,true,true,false,false,true,src/repro/adt_exact.py::ADTExactRegressor,"Accepted subject-specific compact result already exists and current runner has native support."
vlaai,false,true,true,false,true,false,false,src/repro/vlaai_exact.py::VLAAIExactOfficial,"Local implementation exists, but current subject-specific runner has no VLAAI adapter and the exact reference code is sequence-output oriented rather than the current scalar window contract."
happyquokka,false,true,true,false,true,true,false,src/repro/happyquokka_reference.py::train_happyquokka_reference,"Local wrapper exists, but current subject-specific runner has no adapter and it depends on external/upstream/HappyQuokka_system_for_EEG_Challenge plus a 10 s chunked interface."
decaf,false,false,false,false,true,true,false,https://github.com/carankt/DECAF,"Not implemented in this repo. External code is accessible and MIT-licensed, but integration would require a new adapter and external code onboarding."
