dataset,model,subject_count,seed,input_contract,target_alignment,normalization,training_budget,checkpoint_selection,scorer,recording_level_aggregation,full_test_evaluation,uses_true_envelope_context_as_input,train_split_only_for_training,val_split_only_for_selection,test_split_only_for_final_metric,identity_status,coverage
etard_tf64,linear,20,0,"lagged EEG matrix, lags 0..50, target aligned after trim_valid_range",model-native EEG-only target alignment; no true envelope context input,linear-family StandardScaler fitted on train split only,max_fit_samples_per_split=12000,no regularization; validation Pearson recorded as auxiliary metadata,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,budgeted baseline / local adaptation,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,ridge,20,0,"lagged EEG matrix, lags 0..50, target aligned after trim_valid_range",model-native EEG-only target alignment; no true envelope context input,linear-family StandardScaler fitted on train split only,"alphas=[0.001,0.01,0.1,1,10,100]",choose alpha by validation Pearson after lag trimming,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,reference-compatible local subject-specific run,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,lasso,20,0,"lagged EEG matrix, lags 0..50, target aligned after trim_valid_range",model-native EEG-only target alignment; no true envelope context input,linear-family StandardScaler fitted on train split only,"alphas=[0.001,0.01,0.1], max_iter=5000, max_fit_samples_per_split=12000",choose alpha by validation Pearson,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,budgeted baseline / local adaptation,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,elasticnet,20,0,"lagged EEG matrix, lags 0..50, target aligned after trim_valid_range",model-native EEG-only target alignment; no true envelope context input,linear-family StandardScaler fitted on train split only,"alphas=[0.001,0.01,0.1], l1_ratios=[0.2,0.5,0.8], max_iter=5000, max_fit_samples_per_split=12000",choose alpha and l1_ratio by validation Pearson,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,budgeted baseline / local adaptation,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,cca,20,0,"lagged EEG matrix, lags 0..50, target aligned after trim_valid_range",model-native EEG-only target alignment; no true envelope context input,CCA x/y scalers fitted on train split only,reference CCA hyperparameter search,choose PCA/component/reconstruction alpha by validation reconstruction correlation,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,reference-compatible local subject-specific run,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,fcnn,20,0,"50-sample EEG window, target_index=last",model-native EEG-only target alignment; no true envelope context input,model-local train split handling; no test-fitted scaler,"max_epochs=100, patience=10, batch_size=256",best validation Pearson checkpoint,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,reference-compatible local subject-specific run,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,dnn,20,0,"50-sample EEG window, target_index=last",model-native EEG-only target alignment; no true envelope context input,model-local train split handling; no test-fitted scaler,"max_epochs=100, patience=10, batch_size=256",best validation Pearson checkpoint,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,local adaptation / not yet reference-protocol parity,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,cnn,20,0,"50-sample EEG window, target_index=last",model-native EEG-only target alignment; no true envelope context input,model-local train split handling; no test-fitted scaler,"max_epochs=100, patience=10, batch_size=256",best validation Pearson checkpoint,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,local adaptation / not yet reference-protocol parity,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,eegnet,20,0,"50-sample EEG window, target_index=last",model-native EEG-only target alignment; no true envelope context input,model-local train split handling; no test-fitted scaler,"max_epochs=100, patience=10, batch_size=256",best validation Pearson checkpoint,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,reference-compatible local subject-specific run,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,adt,20,0,"320-sample EEG window, hop_length=64",model-native EEG-only target alignment; no true envelope context input,model-local train split handling; no test-fitted scaler,"max_epochs=100, patience=10, batch_size=32",best validation checkpoint,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,reference-compatible local subject-specific run,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,vlaai,20,0,"50-sample EEG window, target_index=last",model-native EEG-only target alignment; no true envelope context input,model-local train split handling; no test-fitted scaler,"max_epochs=100, patience=10, batch_size=64",best validation Pearson checkpoint,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,local adaptation / not yet reference-protocol parity,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
etard_tf64,happyquokka,20,0,"10s EEG chunk at 64 Hz, g_con=false, no true envelope context input",model-native EEG-only target alignment; no true envelope context input,model-local train split handling; no test-fitted scaler,"max_epochs=100, patience=10, batch_size=4",best validation Pearson checkpoint,benchmark.scoring.pearson_on_valid,full recording prediction aggregation -> recording Pearson -> subject mean_recording_pearson_r,full available test recordings; no 256-window cap,False,True,True,True,local adaptation / not yet reference-protocol parity,model-native coverage recorded per recording; HappyQuokka may drop short tail due to 10s chunks
